boundary_id,owner,file,mechanism,reviewed_line,trigger,reactive_reads,isolation,catch_behavior,generation_guard,failure_behavior,category,routing,callback_contract,reactive_consumer,restore_specific
modules/Data Wizard/auto regex/datawizard_auto_regex_pipeline.R::on.exit finalizer::1,Data Wizard / auto regex,modules/Data Wizard/auto regex/datawizard_auto_regex_pipeline.R,on.exit finalizer,65,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/batch_effects/datawizard_batch_effects_correction.R::on.exit finalizer::1,Data Wizard / batch_effects,modules/Data Wizard/batch_effects/datawizard_batch_effects_correction.R,on.exit finalizer,92,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/batch_effects/datawizard_batch_effects_handlers.R::onFlushed::1,Data Wizard / batch_effects,modules/Data Wizard/batch_effects/datawizard_batch_effects_handlers.R,onFlushed,90,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/core/datawizard_core_lifecycle_observers.R::invalidateLater::1,Data Wizard / core,modules/Data Wizard/core/datawizard_core_lifecycle_observers.R,invalidateLater,337,timer invalidation armed by the enclosing reactive consumer,Direct: session/timer only; transitive: enclosing observe/render/reactive dependencies,Not isolated: intentionally invalidates its reactive consumer,Shiny reactive-domain handling; local tryCatch where shown,Consumer lifetime/token or restore guard in enclosing observer,Consumer stops polling or reports through its enclosing handler,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::1,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,62,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::2,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,98,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::3,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,101,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::4,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,104,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::5,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,107,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_reactive_values.R::debounce::6,Data Wizard / core,modules/Data Wizard/core/datawizard_core_reactive_values.R,debounce,110,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/core/datawizard_core_safe_ui.R::onFlushed::1,Data Wizard / core,modules/Data Wizard/core/datawizard_core_safe_ui.R,onFlushed,111,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/core/datawizard_core_submodule_session.R::onFlushed::1,Data Wizard / core,modules/Data Wizard/core/datawizard_core_submodule_session.R,onFlushed,346,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
modules/Data Wizard/core/datawizard_core_submodule_session.R::on.exit finalizer::1,Data Wizard / core,modules/Data Wizard/core/datawizard_core_submodule_session.R,on.exit finalizer,442,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_annotation.R::on.exit finalizer::1,Data Wizard / datawizard_annotation,modules/Data Wizard/datawizard_annotation.R,on.exit finalizer,140,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_annotation.R::cleanup registration::1,Data Wizard / datawizard_annotation,modules/Data Wizard/datawizard_annotation.R,cleanup registration,197,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::1,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,829,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::2,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,919,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_assign_rules.R::cleanup registration::1,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,cleanup registration,1000,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::3,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,1310,post-flush Assign Rules primary dynamic-text replay,Direct: captured generation/payload/job; transitive: counter_condition and input reads in replay helper,Raw primary and retry callbacks invoke .run_session_restore_callback; shared runner isolates all transitive reactive reads,Shared runner classifies and logs callback failures and the family resolver settles its registry job,Captured session restore generation plus shared-runner current-generation check,Success terminal retry stale-generation skip and classified failure settle the replay job exactly once,1,reviewed Category 1 shared-runner boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::4,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,1329,nested Assign Rules primary dynamic-text retry,Direct: captured generation/payload/job; transitive: counter_condition and input reads in replay helper,Raw retry callback invokes .run_session_restore_callback; shared runner isolates all transitive reactive reads,Shared runner classifies failures and invokes the family resolver,Captured session restore generation checked by the shared runner,Terminal unresolved-input success stale skip or classified failure settles the family replay job exactly once,1,reviewed Category 1 shared-runner boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::5,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,1395,post-flush Assign Rules restore-trigger dynamic-text replay,Direct: captured generation/pending identity/job; transitive: pending restore counter and input reads,Raw primary and retry callbacks invoke .run_session_restore_callback; shared runner isolates all transitive reactive reads,Shared runner classifies and logs callback failures and the family resolver settles its registry job,Captured session restore generation plus pending identity and shared-runner current-generation check,Success terminal unresolved-input handling stale-generation skip and classified failure settle the replay job exactly once,1,reviewed Category 1 shared-runner boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_assign_rules.R::onFlushed::6,Data Wizard / datawizard_assign_rules,modules/Data Wizard/datawizard_assign_rules.R,onFlushed,1420,nested Assign Rules restore-trigger dynamic-text retry,Direct: captured generation/pending identity/job; transitive: pending restore counter and input reads,Raw retry callback invokes .run_session_restore_callback; shared runner isolates all transitive reactive reads,Shared runner classifies failures and invokes the family resolver,Captured generation and pending identity prevent an older replay mutating newer pending state,Terminal unresolved-input success stale skip or classified failure settles the family replay job exactly once,1,reviewed Category 1 shared-runner boundary,shared restore callback runner,no,yes
modules/Data Wizard/datawizard_auto_assign.R::cleanup registration::1,Data Wizard / datawizard_auto_assign,modules/Data Wizard/datawizard_auto_assign.R,cleanup registration,263,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_basemean.R::on.exit finalizer::1,Data Wizard / datawizard_basemean,modules/Data Wizard/datawizard_basemean.R,on.exit finalizer,122,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_basemean.R::cleanup registration::1,Data Wizard / datawizard_basemean,modules/Data Wizard/datawizard_basemean.R,cleanup registration,177,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_batch_effects.R::cleanup registration::1,Data Wizard / datawizard_batch_effects,modules/Data Wizard/datawizard_batch_effects.R,cleanup registration,192,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_edit.R::cleanup registration::1,Data Wizard / datawizard_edit,modules/Data Wizard/datawizard_edit.R,cleanup registration,128,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_file_loader.R::debounce::1,Data Wizard / datawizard_file_loader,modules/Data Wizard/datawizard_file_loader.R,debounce,215,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/datawizard_file_loader.R::debounce::2,Data Wizard / datawizard_file_loader,modules/Data Wizard/datawizard_file_loader.R,debounce,216,source reactive changes after coalescing interval,Direct: source reactive; transitive: source input/state dependencies,Reactive consumer by construction,Shiny reactive error propagation,Latest debounced/throttled source value,Consumer invalidates/errors without imperative replay,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/datawizard_filtering.R::cleanup registration::1,Data Wizard / datawizard_filtering,modules/Data Wizard/datawizard_filtering.R,cleanup registration,689,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_filtering.R::onFlushed::1,Data Wizard / datawizard_filtering,modules/Data Wizard/datawizard_filtering.R,onFlushed,825,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/datawizard_filtering.R::onFlushed::2,Data Wizard / datawizard_filtering,modules/Data Wizard/datawizard_filtering.R,onFlushed,854,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/datawizard_filtering.R::onFlushed::3,Data Wizard / datawizard_filtering,modules/Data Wizard/datawizard_filtering.R,onFlushed,889,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::1,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,512,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::2,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,581,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::3,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,650,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::4,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,708,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::5,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,776,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::6,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,847,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::7,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,1075,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::8,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,1132,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::on.exit finalizer::9,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,on.exit finalizer,1511,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_integration.R::cleanup registration::1,Data Wizard / datawizard_integration,modules/Data Wizard/datawizard_integration.R,cleanup registration,1900,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_merge.R::onFlushed::1,Data Wizard / datawizard_merge,modules/Data Wizard/datawizard_merge.R,onFlushed,653,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/datawizard_merge.R::tryCatch finally::1,Data Wizard / datawizard_merge,modules/Data Wizard/datawizard_merge.R,tryCatch finally,1423,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_merge.R::tryCatch finally::2,Data Wizard / datawizard_merge,modules/Data Wizard/datawizard_merge.R,tryCatch finally,1433,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_merge.R::cleanup registration::1,Data Wizard / datawizard_merge,modules/Data Wizard/datawizard_merge.R,cleanup registration,1628,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_pivot.R::on.exit finalizer::1,Data Wizard / datawizard_pivot,modules/Data Wizard/datawizard_pivot.R,on.exit finalizer,182,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_ratios.R::cleanup registration::1,Data Wizard / datawizard_ratios,modules/Data Wizard/datawizard_ratios.R,cleanup registration,805,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/datawizard_tables.R::cleanup registration::1,Data Wizard / datawizard_tables,modules/Data Wizard/datawizard_tables.R,cleanup registration,228,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/edit/datawizard_edit_handlers.R::tryCatch finally::1,Data Wizard / edit,modules/Data Wizard/edit/datawizard_edit_handlers.R,tryCatch finally,801,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/file_loader/datawizard_file_loader_context.R::onFlushed::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_context.R,onFlushed,228,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/file_loader/datawizard_file_loader_diagnostics.R::cleanup registration::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_diagnostics.R,cleanup registration,87,central cleanup or session termination,Direct: captured module state/resources; transitive: registered module cleanup,Imperative teardown; reactive reads must be isolated by callback owner,Central cleanup manager catches and logs module errors,Cleanup manager exactly-once flag/session lifetime,Logs failure and continues remaining cleanup callbacks,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R::tryCatch finally::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R,tryCatch finally,150,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R::tryCatch finally::2,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R,tryCatch finally,244,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R::onFlushed::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_header_reset.R,onFlushed,252,post-flush scheduling,Direct: callback arguments/captured state; transitive: callback body and invoked restore helpers,Callback body must use isolate() or approved restore callback runner for reactive reads,Local tryCatch/approved callback runner where present; otherwise Shiny/later logs error,Restore generation/job token where owned; otherwise latest state/session lifetime,No-op when stale; caught failures log/settle the restore job; uncaught failures abort that callback,1,reviewed raw boundary,documented captured-values-only implementation,no,yes
modules/Data Wizard/file_loader/datawizard_file_loader_interactive.R::invalidateLater::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_interactive.R,invalidateLater,156,timer invalidation armed by the enclosing reactive consumer,Direct: session/timer only; transitive: enclosing observe/render/reactive dependencies,Not isolated: intentionally invalidates its reactive consumer,Shiny reactive-domain handling; local tryCatch where shown,Consumer lifetime/token or restore guard in enclosing observer,Consumer stops polling or reports through its enclosing handler,2,reviewed raw boundary,not applicable: reactive consumer,yes,no
modules/Data Wizard/file_loader/datawizard_file_loader_interactive.R::tryCatch finally::1,Data Wizard / file_loader,modules/Data Wizard/file_loader/datawizard_file_loader_interactive.R,tryCatch finally,344,"lexical function exit, including error/interrupt",Direct: captured resource/guard; transitive: none,"N/A; lexical finalizer, not a reactive consumer",Best-effort try/tryCatch when present; otherwise preserves normal R unwinding,Exactly-once lexical stack unwinding,Releases resource/resets guard; an uncaught cleanup error propagates,3,reviewed raw boundary,not applicable: finalizer,no,no
